Date,GHI,PR
01-07-2019,3.256608333,69.57567588
02-07-2019,3.976766667,79.31441128
03-07-2019,2.811866667,61.02000579
04-07-2019,3.658408333,83.26257616
05-07-2019,5.590683333,82.12444039
06-07-2019,5.179733333,82.76417228
07-07-2019,4.120733333,69.92450703
08-07-2019,5.707991667,84.78915116
09-07-2019,6.469825,79.15239303
10-07-2019,5.811891667,69.0858989
11-07-2019,6.261125,70.93888623
12-07-2019,6.404208333,72.4561298
13-07-2019,5.996333333,82.22091259
14-07-2019,6.084766667,71.86190426
15-07-2019,5.092958333,71.17281927
16-07-2019,3.32445,74.83322027
17-07-2019,1.661191667,81.27245261
18-07-2019,3.641041667,62.76812143
19-07-2019,4.51005,60.52690499
20-07-2019,4.622266667,76.94910025
21-07-2019,4.940125,65.36504375
22-07-2019,5.558991667,60.24257169
23-07-2019,5.547308333,79.32111993
24-07-2019,6.427508333,75.44610622
25-07-2019,3.8688,76.36421888
26-07-2019,6.74835,70.66236611
27-07-2019,4.966391667,61.16419358
28-07-2019,3.974058333,68.92173916
29-07-2019,4.118708333,76.29448028
30-07-2019,5.475133333,78.96251489
31-07-2019,5.032158333,83.30060519
01-08-2019,4.860941667,63.13507679
02-08-2019,3.657125,79.00013668
03-08-2019,3.925425,67.11638614
04-08-2019,4.879466667,78.09573286
05-08-2019,4.471466667,82.72169284
06-08-2019,2.410733333,81.31577325
07-08-2019,2.326983333,77.85296729
08-08-2019,3.530166667,72.92912895
09-08-2019,3.053108333,76.33996613
10-08-2019,3.532608333,76.52966533
11-08-2019,4.233616667,74.37988669
12-08-2019,4.935833333,60.66216854
13-08-2019,6.107708333,81.58867858
14-08-2019,5.945841667,65.42674584
15-08-2019,5.121266667,67.91924654
16-08-2019,5.110308333,65.22271942
17-08-2019,4.57005,81.27025628
18-08-2019,5.784266667,62.1202638
19-08-2019,6.238091667,73.38961958
20-08-2019,4.469258333,79.89516234
21-08-2019,4.319041667,79.63740059
22-08-2019,4.894641667,63.4100524
23-08-2019,6.059475,61.57263172
24-08-2019,5.11375,67.21930321
25-08-2019,5.133858333,63.19590068
26-08-2019,4.25785,66.3089646
27-08-2019,6.652741667,60.72209595
28-08-2019,5.018358333,63.08059253
29-08-2019,2.875591667,71.60160175
30-08-2019,3.195216667,63.56445765
31-08-2019,6.1398,77.71123097
01-09-2019,4.582075,62.14144711
02-09-2019,2.78235,68.21678227
03-09-2019,2.914716667,66.44978731
04-09-2019,2.924125,73.52279742
05-09-2019,4.055225,65.59199065
06-09-2019,5.574541667,66.40701216
07-09-2019,2.775916667,71.92436714
08-09-2019,4.570908333,84.64357472
09-09-2019,4.864208333,75.98908476
10-09-2019,5.792425,72.42388865
11-09-2019,5.639958333,84.22859566
12-09-2019,6.476283333,81.54786406
13-09-2019,2.53245,80.21786497
14-09-2019,2.974508333,63.96117672
15-09-2019,2.552158333,69.29612483
16-09-2019,1.98435,63.65162517
17-09-2019,2.967916667,61.67436516
18-09-2019,1.494691667,71.47531581
19-09-2019,4.91405,72.71470361
20-09-2019,3.92075,76.01707319
21-09-2019,4.271341667,82.28355411
22-09-2019,3.994125,72.49029611
23-09-2019,4.478916667,76.80468408
24-09-2019,5.927058333,65.94358811
25-09-2019,5.151191667,77.5996692
26-09-2019,4.275775,78.68319327
27-09-2019,5.9795,80.31828879
28-09-2019,5.166,82.97936701
29-09-2019,5.962158333,76.0790729
30-09-2019,4.655391667,84.59746407
01-10-2019,6.280383333,79.92690389
02-10-2019,3.846975,79.62610528
03-10-2019,5.304516667,65.92235187
04-10-2019,5.0467,66.65418229
05-10-2019,5.760425,76.60160639
06-10-2019,4.48295,76.5588171
07-10-2019,5.44895,83.77956872
08-10-2019,5.028433333,83.61471439
09-10-2019,4.364933333,75.66140406
10-10-2019,4.664875,80.04870457
11-10-2019,4.926133333,70.29808375
12-10-2019,4.569933333,81.90221019
13-10-2019,4.226025,73.25820899
14-10-2019,6.398408333,66.72883504
15-10-2019,5.518016667,76.57787357
16-10-2019,5.176558333,77.0655894
17-10-2019,6.094358333,81.46022721
18-10-2019,4.18685,73.77075529
19-10-2019,4.9675,72.74535741
20-10-2019,5.845408333,66.34754947
21-10-2019,4.296116667,66.41490897
22-10-2019,4.150366667,63.29654995
23-10-2019,4.634425,69.10798905
24-10-2019,4.577158333,61.90249418
25-10-2019,4.926375,64.60979865
26-10-2019,5.485858333,63.8697312
27-10-2019,5.982341667,71.29737388
28-10-2019,5.172216667,67.22986725
29-10-2019,6.041108333,70.37343202
30-10-2019,5.4497,68.12164532
31-10-2019,2.721441667,77.64830877
01-11-2019,4.808541667,77.83458247
02-11-2019,4.273133333,64.80290631
03-11-2019,3.964708333,74.45366818
04-11-2019,4.952183333,83.34200991
05-11-2019,4.840366667,75.8734639
06-11-2019,3.10135,66.2641216
07-11-2019,3.981483333,71.0687666
08-11-2019,4.995958333,64.52656177
09-11-2019,4.715275,70.12474905
10-11-2019,2.07705,69.36295341
11-11-2019,1.413825,64.81060316
12-11-2019,5.475458333,77.92843953
13-11-2019,5.075183333,69.52200661
14-11-2019,4.823908333,84.96615776
15-11-2019,5.309941667,79.54801003
16-11-2019,3.784533333,82.33174394
17-11-2019,4.245008333,84.41106839
18-11-2019,4.003975,65.07227211
19-11-2019,4.947675,62.04307056
20-11-2019,4.982625,72.24861764
21-11-2019,5.125883333,76.42463244
22-11-2019,5.070808333,71.74904906
23-11-2019,4.5307,74.73660121
